,name,map,ndcg,map +,map -,map p-value,ndcg +,ndcg -,ndcg p-value
0,naive,0.37323197440239264,0.38386609472547606,,,,,,
1,bm25,0.36722474762422996,0.3882705358353927,4.0,8.0,0.43259837477063356,6.0,8.0,0.6579051940389988
2,tfidf,0.36794473462034244,0.38980086923779433,5.0,7.0,0.4890683467871161,8.0,6.0,0.5507861051992087
3,tuned_bm25,0.37902594840554593,0.3972011110113475,4.0,8.0,0.6999396449366009,7.0,7.0,0.15723545120336266
