,name,map,ndcg,map +,map -,map p-value,ndcg +,ndcg -,ndcg p-value
0,naive,0.5289697509164762,0.4968772093165511,,,,,,
1,bm25,0.5469820891083211,0.5135564969459718,8.0,5.0,0.4261009281789233,9.0,7.0,0.334875658566986
2,tfidf,0.5444290982309272,0.5121184237297559,6.0,7.0,0.49660814767204564,8.0,8.0,0.3798212550319279
3,tuned_bm25,0.5539740527903396,0.5147929679581141,8.0,5.0,0.3661163258932777,9.0,7.0,0.2515905331654777
